Senior_Citizen,Tenure,Monthly_Charges,Total_Charges,Gender_Male,Contract_One Year,Contract_Two Year,Payment_Method_Credit Card,Payment_Method_Electronic Check,Payment_Method_Mailed Check,Internet_Service_Fiber Optic,Internet_Service_No
1,7,111.11,777.77,True,False,True,True,False,False,False,True
0,7,37.92,265.44,False,False,False,False,True,False,True,False
0,52,34.47,1792.44,True,False,False,True,False,False,False,False
0,18,37.18,669.24,False,True,False,True,False,False,False,True
0,22,46.87,1031.14,False,False,True,False,False,True,False,False
0,6,113.26,679.56,False,False,False,True,False,False,False,False
1,16,103.47,1655.52,False,False,False,False,False,False,False,False
0,62,95.53,5922.86,True,False,False,False,False,False,True,False
0,2,112.54,225.08,False,False,False,True,False,False,True,False
0,66,110.84,7315.44,True,False,False,False,True,False,False,True
0,68,53.21,3618.28,True,False,False,False,False,True,True,False
1,19,101.56,1929.64,False,False,True,True,False,False,True,False
1,59,90.0,5310.0,True,True,False,False,False,False,False,False
0,64,57.43,3675.52,False,False,False,False,False,True,False,False
0,32,50.71,1622.72,True,False,False,False,False,False,True,False
0,70,30.15,2110.5,True,True,False,True,False,False,True,False
1,21,31.55,662.55,True,True,False,False,False,False,True,False
0,26,65.78,1710.28,False,False,False,True,False,False,False,False
0,71,100.8,7156.8,True,False,False,False,False,True,True,False
0,48,73.55,3530.4,False,True,False,False,False,False,True,False
0,58,88.02,5105.16,False,False,True,False,False,True,False,False
0,27,92.15,2488.05,True,False,False,False,False,False,False,False
0,2,81.51,163.02,True,False,True,False,False,False,False,False
0,47,110.37,5187.39,True,False,False,True,False,False,False,False
1,45,110.85,4988.25,True,False,False,False,True,False,False,False
0,6,24.57,147.42,False,False,False,False,True,False,False,False
0,68,116.72,7936.96,True,False,False,True,False,False,False,False
0,72,93.55,6735.6,False,False,False,True,False,False,False,False
0,70,89.76,6283.2,True,False,False,False,True,False,True,False
0,44,57.7,2538.8,False,True,False,False,False,False,True,False
0,46,55.35,2546.1,False,True,False,True,False,False,False,False
1,48,73.35,3520.8,False,True,False,True,False,False,True,False
0,41,67.99,2787.59,True,False,True,False,False,False,False,False
