Customer_ID,Gender,Senior_Citizen,Tenure,Monthly_Charges,Total_Charges,Contract,Payment_Method,Internet_Service
C00001,Male,0,55,28.74,1580.7,Month-to-month,Credit Card,Fiber Optic
C00002,Female,0,36,83.08,2990.88,One Year,Bank Transfer,
C00003,Female,1,37,70.41,2605.17,Two Year,Bank Transfer,Fiber Optic
C00004,Female,0,14,72.67,1017.38,One Year,Electronic Check,Fiber Optic
C00005,,1,27,112.67,3042.09,One Year,Credit Card,Fiber Optic
C00006,Male,0,31,23.16,717.96,One Year,Credit Card,DSL
C00007,Male,0,44,97.34,4282.96,Month-to-month,,Fiber Optic
C00008,Female,1,68,25.21,1714.28,Month-to-month,Mailed Check,Fiber Optic
C00009,Female,0,48,23.82,1143.36,One Year,Electronic Check,DSL
C00010,Female,0,57,62.98,3589.86,Month-to-month,Electronic Check,Fiber Optic
C00011,Male,0,22,26.31,578.82,One Year,Mailed Check,Fiber Optic
C00012,Female,0,4,98.91,395.64,One Year,Bank Transfer,Fiber Optic
C00013,Female,0,72,72.96,5253.12,One Year,Credit Card,Fiber Optic
C00014,Male,0,-2,22.9,1053.4,Month-to-month,Credit Card,DSL
C00015,Male,0,59,24.05,1418.95,Month-to-month,Mailed Check,Fiber Optic
C00016,Male,0,34,81.27,2763.18,Month-to-month,Credit Card,Fiber Optic
C00017,Male,0,11,100.61,1106.71,Month-to-month,Mailed Check,DSL
C00018,Female,0,31,63.78,1977.18,Month-to-month,Bank Transfer,DSL
C00019,Male,0,11,75.46,830.06,One Year,Mailed Check,DSL
C00020,MALE,1,56,99.98,5598.88,Month-to-month,Credit Card,DSL
C00021,Female,0,38,81.05,3079.9,Month-to-month,Credit Card,DSL
C00022,male,0,21,42.48,892.08,Month-to-month,Mailed Check,DSL
C00023,Male,1,10,81.31,813.1,Month-to-month,Credit Card,DSL
C00024,Male,0,26,82.83,2153.58,Month-to-month,Mailed Check,DSL
C00025,Male,1,8,93.41,747.28,Month-to-month,Credit Card,DSL
C00026,Female,0,8,82.09,656.72,Two Year,Electronic Check,Fiber Optic
C00027,Male,0,60,116.92,7015.2,Month-to-month,Bank Transfer,DSL
C00028,Female,0,72,39.73,2860.56,One Year,Credit Card,DSL
C00029,Female,0,34,115.11,3913.74,Two Year,Credit Card,DSL
C00030,Male,0,16,73.83,1181.28,Month-to-month,Credit Card,Fiber Optic
C00031,Female,0,13,87.2,1133.6,Two Year,Mailed Check,Fiber Optic
C00032,Male,0,22,29.95,658.9,Month-to-month,Credit Card,Fiber Optic
C00033,Male,0,27,58.06,1567.62,Month-to-month,Mailed Check,DSL
C00034,Female,0,64,96.94,6204.16,Month-to-month,Credit Card,Fiber Optic
C00035,Female,0,2,90.69,181.38,Month-to-month,Electronic Check,Fiber Optic
C00036,Female,0,26,24.01,624.26,Month-to-month,Electronic Check,Fiber Optic
C00037,Male,0,69,74.66,5151.54,Month-to-month,Bank Transfer,Fiber Optic
C00038,Male,1,30,28.83,864.9,One Year,Mailed Check,DSL
C00039,Female,0,8,119.59,956.72,Two Year,Bank Transfer,DSL
C00040,Male,1,38,109.73,4169.74,Month-to-month,Credit Card,Fiber Optic
C00041,Male,0,61,22.11,1348.71,Month-to-month,Credit Card,DSL
C00042,Male,0,65,105.86,-500.0,Month-to-month,Electronic Check,Fiber Optic
C00043,Male,0,67,111.94,7499.98,Month-to-month,Bank Transfer,Fiber Optic
